GeneSymbol	C1_rpkm	C2_rpkm	C3_rpkm	C4_rpkm	C5_rpkm	C6_rpkm	C7_rpkm	C8_rpkm	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
PPIL6	2.812195268	0.861060064	2.548600558	3.023310253	2.240980771	2.739685379	2.013041423	2.006444036	2.194562247	2.35252487	2.750042438	2.831981183	3.874514362	2.31438448	2.228386398	2.69135666	2.607183366
DCBLD1	6.964041053	5.752325428	6.304472161	6.462302705	3.50795863	6.911703541	7.392859962	6.204899869	7.526375328	6.168712997	6.367461295	5.701657184	3.986278598	5.100410488	5.796857841	6.60504781	4.993201528
CAGE1	0.014567266	0.0	0.060931552	0.01118632	0.019900038	0.012269449	0.060556802	0.01308419	0.0	0.098806684	0.026218366	0.095413057	0.097902997	0.065591066	0.1250157	0.0616353	0.038043091
PRR18	13.76199339	15.82087639	6.345158896	8.848557299	11.78728418	1.947198692	5.989025503	9.532282524	12.24054472	12.03850191	10.59891496	15.51493848	10.2767733	14.76728427	11.49804159	3.950093944	11.10054201
HCG22	0.335525211	1.931745689	0.121283683	0.114512224	0.067904296	0.073266667	0.125457655	0.167425442	0.192241105	0.098336889	0.30194145	0.132264875	0.417589278	0.121232801	0.202628956	0.10515813	0.129813284
PNPLA1	0.102804493	0.09685381	0.086001552	0.205255428	0.168526889	0.051952966	0.085472613	0.055402855	0.042409747	0.092973485	0.148023154	0.11783652	0.115153936	0.0771485	0.035290564	0.161561869	0.080543612
TREML4	0.0	0.0	0.0	0.0	0.030398838	0.018742526	0.039645073	0.0	0.022949579	0.0	0.040050569	0.0	0.0	0.050097697	0.0	0.01345038	0.058113745
RPL7L1	11.03196859	4.066120118	10.33254576	10.67025684	7.017929519	10.71041563	14.18294476	12.30412283	11.98581095	10.0912419	9.169901463	9.825086089	9.62162848	10.80670319	10.19030881	13.6261796	9.126989869
DKFZp564N2472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CNPY1	0.594903922	0.726533636	0.583686452	0.372233072	0.541790563	0.092789764	0.261697704	0.455176367	0.704430841	1.04613899	0.237936951	0.865892712	0.123401308	0.8928782	0.39708993	0.466127299	0.316477987
LOC285908	1.082432723	4.730927644	1.400279183	0.916900405	1.509177204	0.526337368	0.596428704	0.761748439	0.748059488	0.971352662	1.044383725	1.370440602	2.637414106	1.31475316	1.168356882	0.674501012	1.67569423
WBSCR19	1.504545692	4.024878845	2.978249978	1.654579199	2.638940298	0.657077585	0.728033136	0.700710225	0.919507339	1.028900725	1.872129828	1.824909734	4.535691907	1.700574197	1.673771518	1.190089585	1.431001633
FAM115C	0.507114166	0.26970358	0.444755784	0.540159119	1.15087231	1.150475894	0.587741385	0.301208145	0.44707823	0.406840107	0.456355533	0.368312554	1.136063035	0.417386461	0.498378058	0.820683247	0.480611681
ZNF775	1.925638863	5.503680484	2.986503131	3.156804193	3.192158552	1.931691193	2.428474168	1.923928074	2.119834915	2.470377027	2.005486015	2.958292318	3.877675912	2.841438602	3.397992663	1.634738441	2.457943203
ATG9B	0.592905609	1.889335547	1.183262735	0.642772203	1.858134332	0.988971453	0.828482763	0.866686989	0.539537328	0.893678534	0.753260955	1.237366957	1.432434455	0.854981762	1.00768146	0.997831371	1.062627811
ZNF789	3.941447613	7.202527095	6.159075298	3.861612511	5.693773626	3.338808865	2.617036407	3.944972725	3.247243907	3.943521943	3.710013379	4.41390769	6.191031693	4.504719735	5.573760927	2.902657524	4.82127462
C7orf53	1.956952493	1.920497132	1.818996937	1.836706093	5.383833887	0.938595877	1.162163231	0.854446022	1.261403118	1.10613292	2.543775048	2.002765376	4.901628053	1.325795483	1.259586675	1.330718614	1.52610353
tcag7.1015	0.122201567	0.230256227	0.272608694	0.093839564	0.333874026	0.288191923	0.304798562	0.37318527	0.252057933	0.607836089	0.219940064	0.280139652	0.383267061	0.348478319	0.545339091	0.310226928	0.414875585
XKR6	3.760675676	5.390246767	4.432700257	2.906852077	1.909618459	2.938247699	2.843086747	3.811142778	3.023668973	3.076606894	2.794239299	2.623202639	2.438774559	2.961408867	2.67534226	2.975971694	3.424490087
NSMCE2	13.92875146	14.64234501	10.91704115	17.28280237	15.8564808	13.95204993	12.89837066	13.7122731	17.73307145	17.25828685	14.8715349	15.97829306	13.13384485	15.35421659	16.91738233	16.48145648	12.22794957
