"GeneName"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"A1BG"	104.573133735013	0.141773133243821	0.197519597941899	0.717767425212783	0.472900701736664	0.906019635587816
"A2M"	7172.41204807565	0.402422665150333	0.19560200806434	2.05735446753677	0.0396521415861641	0.496551761141316
"NAT1"	11.0662361815039	0.0514110528660336	0.416925644218912	0.123309884097797	0.901861714189798	0.986100713108635
"SERPINA3"	1401.02824891793	1.29643391970886	0.844281098824726	1.53554772399091	0.124649343767981	0.691456633309287
"AAMP"	1861.65718586766	-0.0867843146903709	0.11197216067149	-0.775052603878776	0.438308576444549	0.896057850183503
"AANAT"	11.969256109021	0.28360678270914	0.430361308472366	0.658996933799291	0.509897737625653	0.918892447888522
"AARS"	8852.13033833604	-0.159435248189731	0.125788401942554	-1.26748766760344	0.204980970496363	0.757950628168468
"ABAT"	7436.00611244353	-0.138013999409519	0.0968987282667987	-1.42431177248802	0.154356241130079	0.719561857408438
"ABCA1"	2147.1343446541	0.162658799703739	0.15888887222657	1.02372681877805	0.305964324388534	0.824764758379103
"ABCA2"	23661.0465186168	0.246638580536307	0.171398263854201	1.43897945632699	0.150156343425345	0.714823106369147
"ABCA3"	4836.21983525216	-0.102230544861846	0.0983736018042919	-1.03920709404569	0.298708431908451	0.820357552115721
"ABCB7"	693.852621104044	0.0832839693966331	0.0957084724576246	0.870183874614732	0.384199926815995	0.877126381873093
"ABCF1"	1373.51985555039	-0.0842993994899412	0.0738539920012278	-1.14143321445021	0.253689689384445	0.797117603046157
"ABCA4"	68.693322469766	0.0609242856109461	0.322484168215204	0.188921787845068	0.850154116836825	0.981748898639535
"ABL1"	1434.72259952765	0.122802360978912	0.105941608666458	1.15915137144592	0.246394489165863	0.795403596200853
"ABL2"	2391.97485446313	-0.0221412122208887	0.10238026109383	-0.216264463328498	0.828781607746033	0.978923194325051
"ABO"	9.6689981038722	-0.162779483744527	0.567336716687065	-0.286918648056255	0.774174611457853	0.969576507054228
"ABR"	11824.0987101589	-0.223892239564936	0.0867945688396347	-2.57956508751842	0.00989248143961583	0.305267479148448
"ACAA1"	869.955083204145	0.0389151631180648	0.129546579783482	0.300395141138468	0.763875769462604	0.967883745093032
"ACACA"	7689.71242514376	-0.0480247433404847	0.117648084256684	-0.408206760389777	0.683121885348307	0.955100606691929
"ACACB"	2252.54952812439	-0.333452527416241	0.208696912024632	-1.59778371505988	0.110091120112391	0.665980678090577
"ACADL"	125.14959707023	0.298650100038551	0.183094139762107	1.63112866652414	0.102863173035404	0.656244623350517
"ACADM"	1527.15998646537	-0.0291085033195501	0.102310803043343	-0.284510554640241	0.776019146672298	0.969618140627902
"ACADS"	234.343387869147	-0.000525314236394416	0.165972847537424	-0.00316506129881254	0.997474650672012	0.999380549077742
"ACADSB"	1641.62976865952	0.0709355001216033	0.142436496797706	0.498014916937677	0.618473528263187	0.947410477909099
"ACADVL"	3305.25876086574	-0.143088814906231	0.151936642871193	-0.941766332349048	0.34631228580591	0.854359526790131
"ACAT1"	1588.95867597336	-0.0114347970879411	0.104078036494262	-0.109867532796619	0.912514431701393	0.987243976778946
"ACAT2"	1131.52380725471	0.0922376492827033	0.160347808857138	0.575234859397939	0.565132469980783	0.936537381019694
"ACCN1"	496.20863393462	-0.298838786229585	0.119471068426565	-2.50134857053925	0.0123721339713434	0.333932955008237
"ACCN2"	621.16769644915	-0.125969763945765	0.118842552763171	-1.05997187890096	0.28915739291062	0.81596856546052
"ACHE"	329.967439203171	-0.242777707111734	0.166956431112961	-1.45413809754638	0.145908023017171	0.711815058434135
"ACLY"	3681.21178375571	-0.0786526220035972	0.108545926633939	-0.724602243885627	0.468696081945389	0.904846558650122
"ACO1"	1249.27874730794	0.0103491536201114	0.105782182040118	0.0978345636336606	0.922063661215248	0.987555696397803
"ACO2"	6983.58959198909	-0.138120089478045	0.101654369475743	-1.35872260278004	0.174234506930136	0.734678454552261
"ACOX1"	3008.32776970657	0.0695544398947281	0.0700635056401645	0.992734223890383	0.320839491967336	0.83635197315983
"ACP1"	862.361504888985	-0.172301243502156	0.139201016005542	-1.23778725505348	0.215794955392017	0.765520583881541
"ACP2"	553.835778735715	-0.0628279167717227	0.123901184509373	-0.507080840433529	0.612098097774788	0.946019069038047
"ACP5"	22.1460719591225	0.272163470221584	0.300572229097401	0.905484418966031	0.365208810636575	0.86501718869819
"ACPP"	23.9490096172814	1.37920304332967	0.378991665319654	3.63913819098477	0.000273551982232503	0.0529051188169545
"ACRV1"	10.9970371620215	-0.0488613022965398	0.416451969198945	-0.117327581354761	0.906600469208775	0.987149122803767
"ACTA1"	16.5796508052598	-0.157725277199095	0.385544173210673	-0.409097810727149	0.682467882834107	0.954947057981223
"ACTA2"	466.105847526677	-0.160123646154985	0.21292286258453	-0.752026551828909	0.452035091449468	0.899870180933117
"ACTB"	20974.1221166622	0.0506022908596256	0.0887081218556446	0.570435827082114	0.568382135695748	0.937445943065893
"ACTC1"	63.0196777256609	-0.142364817432492	0.213866879062401	-0.665670243361778	0.505621897354719	0.917289435388631
"ACTG1"	11062.7447488738	0.0729728067285831	0.138933843729733	0.525234203341673	0.59942039062377	0.945588185478747
"ACTG2"	11.3425691131342	0.750823817516911	0.629690305567964	1.19236998073154	0.233116205634559	0.783163931868648
"ACTN4"	4247.53095128831	0.00863545606699119	0.120777688593804	0.0714987690817113	0.943000804183106	0.989747321994158
"ACTL6A"	347.253167725566	0.223364225800385	0.175449516791732	1.2730968422417	0.202983679359828	0.756158484113361
